"Date","StateOfOccurrence","Location","Model","Registration","Operator","StateOfOperator","StateOfRegistry","FlightPhase","Class","Fatalities","Over2250","Over5700","ScheduledCommercial","InjuryLevel","TypeDesignator","Helicopter","Airplane","Engines","EngineType","Official","OccCats","Risk","Year"
"""2014-01-03T00:00:00.000Z""","USA","Las Vegas","Boeing 737","N-8327A","United States Southwest Airlines Co. (San Antonio, Tx)","USA","USA","Landing","Accident","",true,true,true,"Unknown","B37M",,true,2,"Jet",true,"[""ARC""]","RS",2014
"""2014-01-04T00:00:00.000Z""","BRA","São José do Xingu Municipality, State of Mato Grosso","AIR TRACTOR AT502 B","PR-PIC","Brazil Other","","BRA","Landing","Accident",0,true,false,"","None","AT5T",false,true,1,"Turboprop","","[""LOC-G""]","RS",2014
"""2014-01-05T00:00:00.000Z""","IND","Jaipur Airport","Airbus A320","VT-ESH","India Air India","LUX","IND","Landing","Accident","",true,true,true,"None","A320",,true,2,"Jet",true,"[""RE""]","RS",2014
"""2014-01-05T00:00:00.000Z""","USA"," Aspen-Pitkin County Airport, CO (ASE)","Canadair CL-600-2B16 Challenger 601-3R","N115WF","Vineland Corporation","","USA","Landing","Accident",1,true,true,false,"Fatal","CL60",false,true,2,"Jet","","[]","RS",2014
"""2014-01-05T00:00:00.000Z""","SAU","Runway 36, Madinah Airport","Boeing 767","HS-BKE","Saudi Arabia Saudi Arabian Airlines","THA","THA","Landing","Accident",0,true,true,true,"None","B37M",,true,2,"Jet",true,"[""SCF-NP"",""ARC"",""EVAC""]","RS",2014
"""2014-01-07T00:00:00.000Z""","SSD","Aweil","Fokker 50","C5-SSA","Sudan ","GMB","GMB","Landing","Accident","",true,true,true,"Unknown","F50",,true,2,"Turboprop",true,"[""RE""]","RS",2014
"""2014-01-08T00:00:00.000Z""","CAN","Stephenville","Saab 340","C-FPAI","Canada Provincial Express Inc.","CAN","CAN","Landing","Accident",0,true,true,true,"Unknown","SF34",,true,2,"Turboprop",true,"[""RE""]","RS",2014
"""2014-01-09T00:00:00.000Z""","USA","","Boeing 737","N966WN","","","USA","","Accident",0,true,true,true,"","B37M",false,true,2,"Jet",true,"[]","OTH",2014
"""2014-01-10T00:00:00.000Z""","CAN","Regina","Swearingen Metro","C-FJKK","Canada ","CAN","CAN","Landing","Accident",0,true,true,true,"Unknown","SW4",,true,2,"Turboprop",true,"[""RE""]","RS",2014
"""2014-01-10T00:00:00.000Z""","MYS","ULU YAM","CESSNA 172 L","9M-RFC","Malaysia Other","","MYS","","Accident",0,false,false,false,"Minor","C172",false,true,1,"Piston","","[""LOC-I""]","LOC-I",2014
